Customer_ID,Churned
279,1
280,0
281,1
282,1
283,1
284,0
285,1
286,0
287,1
288,1
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,1
320,0
321,1
322,0
323,1
324,1
325,0
326,1
327,0
328,0
329,1
330,1
331,0
332,0
333,1
334,1
335,1
336,1
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,1
345,0
346,0
347,1
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,1
384,1
385,0
386,0
387,0
388,0
389,1
390,0
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,1
399,1
400,1
401,1
402,1
403,1
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,0
424,0
425,1
426,0
427,1
428,0
429,0
430,0
431,0
432,0
433,1
434,1
435,1
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,1
446,0
447,0
448,0
449,0
450,1
451,0
452,1
453,1
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,0
472,1
473,0
474,1
475,0
476,0
477,0
478,1
479,0
480,0
481,1
482,1
483,0
484,0
485,1
486,1
487,0
488,1
489,0
490,2
491,1
492,0
493,0
494,1
495,1
496,0
497,1
498,1
499,0
500,1
501,0
502,1
503,0
504,0
505,0
506,1
507,1
508,1
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,1
517,1
518,0
519,0
520,0
521,1
522,0
523,1
524,0
525,0
526,1
527,0
528,1
529,1
530,0
531,0
532,0
533,0
534,1
535,0
536,0
537,0
538,0
539,0
540,1
541,1
542,1
543,1
544,0
545,1
546,0
547,0
548,0
549,0
550,1
551,0
552,1
553,0
554,0
555,2
556,0
557,0
558,0
559,1
560,1
561,0
562,1
563,1
564,1
565,1
566,0
567,1
568,0
569,0
570,1
571,1
572,0
573,0
574,1
575,0
576,0
577,0
578,0
579,1
580,0
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,0
589,1
590,1
591,0
592,0
593,1
594,1
595,0
596,0
597,1
598,0
599,1
600,1
601,1
602,0
603,1
604,1
605,1
606,0
607,0
608,1
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,1
621,0
622,0
623,0
624,1
625,1
626,1
627,1
628,0
629,1
630,0
631,0
632,0
633,0
634,1
635,0
636,1
637,0
638,0
639,1
640,1
641,1
642,0
643,0
644,1
645,1
646,0
647,1
648,1
649,1
650,1
651,1
652,0
653,0
654,1
655,0
656,0
657,0
658,0
659,1
660,1
661,2
662,0
663,1
664,1
665,1
666,0
667,0
668,0
669,1
670,1
671,1
672,0
673,1
674,1
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,1
685,0
686,1
687,0
688,1
689,0
690,1
691,0
692,1
693,0
694,1
695,0
696,0
697,0
698,1
699,1
700,1
701,0
702,0
703,1
704,0
705,1
706,1
707,1
708,0
709,0
710,0
711,1
712,0
713,0
714,0
715,0
716,1
717,1
718,0
719,0
720,1
721,0
722,1
723,1
724,0
725,0
726,1
727,0
728,0
729,0
730,0
731,1
732,1
733,1
734,0
735,0
736,1
737,0
738,1
739,0
740,1
741,0
742,0
743,0
744,0
745,0
746,1
747,1
748,1
749,1
750,0
751,0
752,0
753,1
754,0
755,1
756,0
757,1
758,1
759,0
760,0
761,1
762,0
763,0
764,1
765,0
766,1
767,1
768,0
769,0
770,0
771,1
772,0
773,1
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,1
784,0
785,0
786,1
787,0
788,1
789,0
790,0
791,1
792,0
793,1
794,0
795,1
796,1
797,0
798,1
799,0
800,1
